	prevalence	gene	lifestyle
9202	0.06666666666666667	gene__K04070	westernized
5190	0.8463356973995272	gene__K04070	westernized
6191	0.6038647342995169	gene__K04070	westernized
15295	0.7651515151515151	gene__K04070	westernized
15333	0.7569444444444444	gene__K04070	westernized
15299	0.83125	gene__K04070	westernized
15323	0.7164179104477612	gene__K04070	westernized
15291	0.7790697674418605	gene__K04070	westernized
15326	0.8	gene__K04070	westernized
14311	0.9093610698365527	gene__K04070	westernized
14993	0.5	gene__K04070	westernized
15346	0.8368983957219251	gene__K04070	westernized
15318	0.8454706927175843	gene__K04070	westernized
15300	0.9744525547445255	gene__K04070	westernized
15316	0.9035369774919614	gene__K04070	westernized
15286	0.9540229885057471	gene__K04070	westernized
15332	0.9070567986230637	gene__K04070	westernized
15342	0.9845679012345679	gene__K04070	westernized
6173	0.7058823529411765	gene__K04070	non-westernized
6174	0.6	gene__K04070	non-westernized
6179	0.926829268292683	gene__K04070	non-westernized
5967	0.6666666666666666	gene__K04070	non-westernized
6385	0.4827586206896552	gene__K04070	non-westernized
6362	0.85	gene__K04070	non-westernized
6308	0.9565217391304348	gene__K04070	non-westernized
9202	0.39215686274509803	gene__K04070	non-westernized
5190	0.8636363636363636	gene__K04070	non-westernized
6191	0.8214285714285714	gene__K04070	non-westernized
15295	0.8817204301075269	gene__K04070	non-westernized
15333	0.6956521739130435	gene__K04070	non-westernized
15299	0.9491525423728814	gene__K04070	non-westernized
15323	0.8307692307692308	gene__K04070	non-westernized
15291	0.9078947368421053	gene__K04070	non-westernized
15326	0.9024390243902439	gene__K04070	non-westernized
14311	0.9047619047619048	gene__K04070	non-westernized
14993	0.24	gene__K04070	non-westernized
15346	0.8076923076923077	gene__K04070	non-westernized
15318	0.9230769230769231	gene__K04070	non-westernized
15300	0.9464285714285714	gene__K04070	non-westernized
15316	0.88	gene__K04070	non-westernized
15286	1.0	gene__K04070	non-westernized
15332	0.9487179487179487	gene__K04070	non-westernized
15342	0.9655172413793104	gene__K04070	non-westernized
698	0.8	gene__K02233	westernized
4537	0.8035714285714286	gene__K02233	westernized
714	0.995049504950495	gene__K02233	westernized
4953	0.8928571428571429	gene__K02233	westernized
4670	0.7482014388489209	gene__K02233	westernized
4909	0.42276422764227645	gene__K02233	westernized
5083	0.8592592592592593	gene__K02233	westernized
5906	0.7627118644067796	gene__K02233	westernized
5904	0.7586206896551724	gene__K02233	westernized
6179	0.7012987012987013	gene__K02233	westernized
4705	0.19543147208121828	gene__K02233	westernized
5077	0.8896321070234113	gene__K02233	westernized
4532	0.7564469914040115	gene__K02233	westernized
9202	1.0	gene__K02233	westernized
6191	0.5893719806763285	gene__K02233	westernized
4936	0.8688783570300158	gene__K02233	westernized
5082	0.35075653370013754	gene__K02233	westernized
1855	0.041916167664670656	gene__K02233	westernized
4938	0.9288194444444444	gene__K02233	westernized
5090	0.04417670682730924	gene__K02233	westernized
4933	0.9806896551724138	gene__K02233	westernized
4940	0.3353413654618474	gene__K02233	westernized
4925	0.9863201094391245	gene__K02233	westernized
9226	0.9800853485064012	gene__K02233	westernized
15467	0.7264957264957265	gene__K02233	westernized
15452	0.8847926267281107	gene__K02233	westernized
10115	0.6760925449871465	gene__K02233	westernized
10068	0.8186889818688982	gene__K02233	westernized
698	0.9508196721311475	gene__K02233	non-westernized
4537	0.7272727272727273	gene__K02233	non-westernized
714	0.9700598802395209	gene__K02233	non-westernized
4953	0.8571428571428571	gene__K02233	non-westernized
4670	0.6818181818181818	gene__K02233	non-westernized
4909	0.4342105263157895	gene__K02233	non-westernized
5083	0.8918918918918919	gene__K02233	non-westernized
5906	0.8666666666666667	gene__K02233	non-westernized
5904	0.8888888888888888	gene__K02233	non-westernized
6179	0.9634146341463414	gene__K02233	non-westernized
4705	0.09523809523809523	gene__K02233	non-westernized
5077	0.7857142857142857	gene__K02233	non-westernized
4532	0.8	gene__K02233	non-westernized
9202	0.8235294117647058	gene__K02233	non-westernized
6191	0.8928571428571429	gene__K02233	non-westernized
4936	0.90625	gene__K02233	non-westernized
5082	0.325	gene__K02233	non-westernized
1855	0.11363636363636363	gene__K02233	non-westernized
4938	0.975	gene__K02233	non-westernized
5090	0.11538461538461539	gene__K02233	non-westernized
4933	0.9809523809523809	gene__K02233	non-westernized
4940	0.4810126582278481	gene__K02233	non-westernized
