                   Feature  random-effect      Q-values    CI_low    CI_upp   SG
gene__K15987  gene__K15987       0.997315  9.096704e-06  0.625134  1.369495  yes
gene__K02551  gene__K02551       0.771641  8.365266e-05  0.452974  1.090309  yes
gene__K06201  gene__K06201       0.709203  2.753508e-03  0.346817  1.071590  yes
gene__K04070  gene__K04070       0.673708  2.935545e-03  0.327636  1.019781  yes
gene__K03631  gene__K03631       0.598462  7.020858e-03  0.263382  0.933541  yes
gene__K04486  gene__K04486       0.575176  2.168829e-02  0.215184  0.935167  yes
gene__K02233  gene__K02233       0.537271  1.848484e-02  0.206883  0.867660  yes
gene__K00674  gene__K00674       0.509872  6.364424e-03  0.228089  0.791655  yes
gene__K06889  gene__K06889       0.496776  4.543414e-02  0.153023  0.840529  yes
gene__K07391  gene__K07391       0.489944  4.300884e-03  0.229144  0.750744  yes
gene__K01749  gene__K01749       0.452926  3.884790e-02  0.145749  0.760103  yes
gene__K07009  gene__K07009       0.450240  3.382551e-02  0.150461  0.750020  yes
gene__K00558  gene__K00558       0.400043  4.864461e-02  0.119788  0.680298  yes
gene__K01604  gene__K01604       0.369181  1.619706e-02  0.145261  0.593102  yes
gene__K03040  gene__K03040      -0.360652  2.023424e-08 -0.468945 -0.252359  yes
gene__K02926  gene__K02926      -0.361614  3.020679e-05 -0.504051 -0.219178  yes
gene__K02110  gene__K02110      -0.369298  1.890562e-02 -0.597296 -0.141300  yes
gene__K04078  gene__K04078      -0.370728  1.838679e-05 -0.513355 -0.228101  yes
gene__K03711  gene__K03711      -0.371613  4.300884e-03 -0.569542 -0.173684  yes
gene__K02933  gene__K02933      -0.390511  2.890456e-06 -0.529416 -0.251606  yes
gene__K04771  gene__K04771      -0.407227  1.551875e-02 -0.653058 -0.161395  yes
gene__K01265  gene__K01265      -0.409953  4.578170e-05 -0.574597 -0.245309  yes
gene__K03608  gene__K03608      -0.413379  3.114763e-02 -0.684515 -0.142242  yes
gene__K05340  gene__K05340      -0.433725  3.251084e-03 -0.659029 -0.208421  yes
gene__K03075  gene__K03075      -0.441815  4.938033e-04 -0.641848 -0.241782  yes
gene__K02961  gene__K02961      -0.448202  7.076712e-05 -0.631729 -0.264675  yes
gene__K01507  gene__K01507      -0.464135  1.124760e-05 -0.638949 -0.289321  yes
gene__K03770  gene__K03770      -0.472132  6.396363e-07 -0.629055 -0.315210  yes
gene__K08316  gene__K08316      -0.478393  4.759647e-03 -0.735643 -0.221144  yes
gene__K07646  gene__K07646      -0.545256  1.696447e-02 -0.877655 -0.212858  yes
gene__K02874  gene__K02874      -0.550277  5.227183e-06 -0.751039 -0.349515  yes
gene__K07107  gene__K07107      -0.563622  4.684795e-04 -0.817516 -0.309727  yes
gene__K00060  gene__K00060      -0.568007  1.011082e-02 -0.897769 -0.238245  yes
gene__K01995  gene__K01995      -0.577007  7.239328e-03 -0.901271 -0.252742  yes
gene__K07150  gene__K07150      -0.673619  6.364424e-03 -1.046202 -0.301037  yes
gene__K01673  gene__K01673      -0.673781  2.291752e-02 -1.098911 -0.248651  yes
gene__K09807  gene__K09807      -0.731213  6.360526e-03 -1.133980 -0.328446  yes
gene__K00194  gene__K00194      -0.755636  2.958065e-03 -1.144434 -0.366838  yes
gene__K02119  gene__K02119      -0.783160  1.599251e-05 -1.082418 -0.483902  yes
gene__K07726  gene__K07726      -0.871980  3.382551e-02 -1.451388 -0.292571  yes
