                           Feature  random-effect      Q-values    CI_low    CI_upp   SG
gene__GO:0016627  gene__GO:0016627       1.286924  2.544207e-02  0.451998  2.121850  yes
gene__GO:0017038  gene__GO:0017038       0.734914  9.871104e-03  0.312165  1.157663  yes
gene__GO:0008733  gene__GO:0008733       0.612046  8.723471e-03  0.266247  0.957844  yes
gene__GO:0008894  gene__GO:0008894       0.570223  3.321903e-03  0.277413  0.863033  yes
gene__GO:0052690  gene__GO:0052690       0.559926  2.318307e-02  0.202250  0.917602  yes
gene__GO:0004827  gene__GO:0004827       0.516180  1.361883e-02  0.206245  0.826115  yes
gene__GO:0043781  gene__GO:0043781       0.415603  9.459476e-03  0.179070  0.652137  yes
gene__GO:0047571  gene__GO:0047571       0.412660  3.839884e-02  0.131356  0.693964  yes
gene__GO:0015420  gene__GO:0015420       0.397818  7.685742e-04  0.215546  0.580090  yes
gene__GO:0052855  gene__GO:0052855       0.390487  1.586258e-03  0.202059  0.578914  yes
gene__GO:0032784  gene__GO:0032784      -0.344883  5.979365e-12 -0.432679 -0.257087  yes
gene__GO:0015934  gene__GO:0015934      -0.350717  1.747518e-11 -0.442449 -0.258984  yes
gene__GO:0008113  gene__GO:0008113      -0.354780  6.536215e-03 -0.549014 -0.160546  yes
gene__GO:0022904  gene__GO:0022904      -0.355536  7.897829e-04 -0.518929 -0.192143  yes
gene__GO:0008253  gene__GO:0008253      -0.363196  1.492909e-05 -0.498076 -0.228317  yes
gene__GO:0070180  gene__GO:0070180      -0.373060  1.121131e-11 -0.469514 -0.276606  yes
gene__GO:0022627  gene__GO:0022627      -0.373549  4.232470e-07 -0.496046 -0.251052  yes
gene__GO:0015074  gene__GO:0015074      -0.375397  2.087956e-11 -0.474213 -0.276581  yes
gene__GO:0048038  gene__GO:0048038      -0.376601  7.492006e-03 -0.585996 -0.167206  yes
gene__GO:0047371  gene__GO:0047371      -0.376616  4.968430e-02 -0.643313 -0.109919  yes
gene__GO:0008804  gene__GO:0008804      -0.382854  4.071087e-04 -0.551338 -0.214371  yes
gene__GO:0072592  gene__GO:0072592      -0.383365  4.127914e-03 -0.584862 -0.181869  yes
gene__GO:0043142  gene__GO:0043142      -0.391016  2.459281e-02 -0.643249 -0.138784  yes
gene__GO:0006796  gene__GO:0006796      -0.393343  6.479016e-05 -0.548940 -0.237747  yes
gene__GO:0018697  gene__GO:0018697      -0.414148  2.031066e-02 -0.674943 -0.153354  yes
gene__GO:0006979  gene__GO:0006979      -0.414769  9.609225e-03 -0.651502 -0.178037  yes
gene__GO:0008289  gene__GO:0008289      -0.420078  6.479016e-05 -0.586724 -0.253432  yes
gene__GO:0022625  gene__GO:0022625      -0.421895  0.000000e+00 -0.515567 -0.328223  yes
gene__GO:0033177  gene__GO:0033177      -0.440008  1.827504e-02 -0.713482 -0.166534  yes
gene__GO:0046983  gene__GO:0046983      -0.453182  0.000000e+00 -0.539738 -0.366626  yes
gene__GO:0004062  gene__GO:0004062      -0.489102  1.644400e-02 -0.789438 -0.188766  yes
gene__GO:0032422  gene__GO:0032422      -0.517709  6.692248e-04 -0.752839 -0.282580  yes
gene__GO:0042255  gene__GO:0042255      -0.520716  1.824435e-04 -0.739029 -0.302402  yes
gene__GO:0043714  gene__GO:0043714      -0.530501  1.492909e-05 -0.727856 -0.333145  yes
gene__GO:0005887  gene__GO:0005887      -0.540143  5.223192e-04 -0.781602 -0.298683  yes
gene__GO:0006357  gene__GO:0006357      -0.564622  2.003815e-02 -0.919149 -0.210095  yes
gene__GO:0019518  gene__GO:0019518      -0.570759  9.871104e-03 -0.898919 -0.242600  yes
gene__GO:0071472  gene__GO:0071472      -0.641431  3.226686e-04 -0.920100 -0.362761  yes
gene__GO:0006435  gene__GO:0006435      -0.759184  1.272689e-04 -1.071909 -0.446459  yes
gene__GO:0050002  gene__GO:0050002      -1.079016  1.470611e-03 -1.595930 -0.562102  yes
